Area code,Area name,Region,Rural Urban Classification,Population,Aged 4 years and under,Aged 5 to 14 years,Aged 15 to 19 years,Aged 20 to 34,Aged 35 to 54,Aged 55 to 64,Aged 65+,GDHI (£m),"GP Surgeries per 100,000 people","Doctors per 100,000 people",Very good health,Good health,Fair health,Bad health,Very bad health,Longitude,Latitude
E06000038,Reading,South East,Urban,174200,10238,20733,10986,44902,49464,16923,20978,113.51,11.784776313722,156.78,89196,60019,18627,5018,1364,-0.9838,51.4529
E06000039,Slough,South East,Urban,158500,11772,25513,9919,32458,48937,14581,15320,116.64,12.4445440007965,142.65,81941,53816,16804,4625,1314,-0.5863,51.5084
E06000040,Windsor and Maidenhead,South East,Urban,153500,8021,19712,8981,24054,44785,19624,28321,104.49,15.4600325949021,138.15,85594,48793,14471,3636,1002,-0.6996,51.4857
E06000041,Wokingham,South East,Urban,177500,9852,24652,10096,28364,52270,21717,30547,129.59,9.24566269647033,159.75,97553,58866,16372,3676,1033,-0.8838,51.4294
E06000042,Milton Keynes,South East,Urban,287000,17733,40879,16353,56034,84900,31576,39586,188.76,9.05220102591612,258.3,146636,96796,31721,9239,2668,-0.7335,52.0838
E06000043,Brighton and Hove,South East,Urban,277200,11751,27230,17763,69390,79977,32016,38976,166.4,12.8738328618888,249.48,139078,91878,32118,10757,3272,-0.1338,50.8445
E06000044,Portsmouth,South East,Urban,208100,11280,23782,14494,51367,52967,23323,30790,127.96,9.03484120077795,187.29,98505,72447,26740,8000,2311,-1.0713,50.8052
E06000045,Southampton,South East,Urban,249000,13796,28288,16752,67022,63352,25462,34249,160.83,13.6660028893835,224.1,118703,87353,30497,9536,2833,-1.3989,50.9199
E06000046,Isle of Wight,South East,Rural,140400,5552,13912,6390,19877,32059,21650,41019,72.5,10.6453948022086,126.36,56014,51903,23077,7386,2079,-1.298,50.6749
E06000047,County Durham,North East,Rural,522100,24752,57858,31231,92939,129369,74584,111338,271.28,17.0994133585879,469.89,224293,176980,81624,30167,9004,-1.8398,54.6954
E06000049,Cheshire East,North West,Urban,398800,19930,44976,19700,63706,105118,56119,89227,238,10.1828549815981,358.92,198755,132827,48431,14513,4243,-2.3493,53.1804
E06000050,Cheshire West and Chester,North West,Urban,357200,17618,40201,18728,63384,92194,49277,75747,213.78,13.6963411594227,321.48,174349,118810,45293,14499,4199,-2.7331,53.1979
E06000051,Shropshire,West Midlands,Rural,323600,14422,33496,16916,49947,78234,48504,82088,179.86,12.7558768146753,291.24,150899,112330,43932,12796,3649,-2.7341,52.6354
E06000052,Cornwall,South West,Rural,570300,25532,61471,29259,88608,137711,83585,144136,286.46,16.5996915223992,513.27,260855,191185,82985,26972,8308,-4.8249,50.4065
E06000054,Wiltshire,South West,Rural,510400,25629,59856,27336,83761,131178,71046,111527,290.57,12.9348873216868,459.36,252803,173908,62034,16995,4593,-1.9447,51.2976
E06000055,Bedford,East,Urban,185300,11163,23717,10319,35433,51568,22007,31024,109.64,12.6388296443749,166.77,90419,64772,21942,6357,1735,-0.4771,52.1893
E06000056,Central Bedfordshire,East,Rural,294200,17805,36379,14778,53145,80718,38479,52947,182.37,9.08200400905605,264.78,148210,101486,33332,8817,2407,-0.4361,52.0066
E06000057,Northumberland,North East,Rural,320600,14235,34096,15678,46768,77708,50533,81550,173.93,17.7340202718197,288.54,140289,110887,49447,15644,4300,-2.0686,55.2366
E06000058,"Bournemouth, Christchurch and Poole",South West,Urban,400300,18878,42554,22257,76933,103218,49932,86426,223.93,11.8797178567009,360.27,190242,136523,52466,16230,4735,-1.8785,50.7495
E06000059,Dorset,South West,Rural,379600,15024,38497,19141,50383,85693,58565,112276,207.41,15.0724125475236,341.64,170366,135867,54010,15166,4170,-2.3361,50.808
E06000060,Buckinghamshire,South East,Urban,553100,30888,71962,30807,90052,153734,71923,103712,371.02,10.9406487451782,497.79,293915,183564,57178,14525,3897,-0.8121,51.7853
E06000061,North Northamptonshire,East Midlands,Urban,359500,20206,45695,19761,65017,98106,45383,65357,199.38,9.78284795008573,323.55,166047,128657,47271,13718,3831,-0.6259,52.4256
E06000062,West Northamptonshire,East Midlands,Urban,425700,23965,53245,23844,82288,117286,52421,72676,244.18,11.2812507914143,383.13,209457,149226,49482,13891,3669,-1.0361,52.223
E07000008,Cambridge,East,Urban,145700,6347,13347,11529,50129,35453,12257,16614,100.1,12.0029607303135,131.13,80195,46807,13957,3715,1001,0.133,52.1994
E07000009,East Cambridgeshire,East,Rural,87700,4519,10797,4447,13833,24447,11500,18219,49.45,8.74641943454398,78.93,42423,30830,10879,2859,771,0.3043,52.339
E07000010,Fenland,East,Rural,102500,5169,11367,5023,17820,25547,14132,23401,47.49,12.555897891575,92.25,41264,38407,16256,5064,1471,0.0573,52.5336
E07000011,Huntingdonshire,East,Rural,180800,9660,20997,8850,31341,49081,24364,36538,110.05,12.8986488665312,162.72,86577,64569,22026,6085,1576,-0.2208,52.3738
E07000012,South Cambridgeshire,East,Rural,162000,8772,21017,8692,24717,46646,20469,31804,117.04,14.2398585507384,145.8,84637,54501,17419,4313,1246,0.0812,52.1728
E07000032,Amber Valley,East Midlands,Urban,126200,6073,13757,6041,20795,32773,18292,28477,72.45,11.7454525522868,113.58,56072,44733,18298,5613,1492,-1.4668,53.0293
E07000033,Bolsover,East Midlands,Urban,80300,4102,8966,3922,14840,20905,11328,16213,40.75,13.2803728162842,72.27,33546,27509,12940,4844,1434,-1.2771,53.2158
E07000034,Chesterfield,East Midlands,Urban,103600,5080,11410,4917,18375,26562,14841,22384,54.7,12.3947636890631,93.24,42969,36035,17062,5874,1629,-1.4013,53.2562
E07000035,Derbyshire Dales,East Midlands,Rural,71500,2636,7080,3511,8903,17409,11980,20020,39.67,26.5622815601845,64.35,34005,24678,9585,2534,738,-1.6937,53.1284
E07000036,Erewash,East Midlands,Urban,112900,5493,12689,5690,20285,29699,15564,23486,64.99,14.9327149432557,101.61,50053,39919,16552,5020,1362,-1.3468,52.9356
E07000037,High Peak,East Midlands,Rural,90900,4329,9961,4448,14369,23754,14230,19839,48.3,14.1969443807402,81.81,43301,31083,12007,3535,1007,-1.874,53.373
E07000038,North East Derbyshire,East Midlands,Urban,102000,4839,10863,4824,15909,25280,14956,25331,58.64,18.0892083591184,91.8,44381,35060,15945,5166,1449,-1.4483,53.2259
E07000039,South Derbyshire,East Midlands,Urban,107200,5762,13122,5721,19247,29326,14089,19937,61.7,7.89127575624726,96.48,51669,36956,13642,3853,1088,-1.5595,52.831
E07000040,East Devon,South West,Rural,150800,6491,15450,7089,20510,34540,21521,45223,86.69,13.4471431224266,135.72,69973,52881,20650,5798,1525,-3.2228,50.7655
E07000041,Exeter,South West,Urban,130800,5884,12319,11766,34339,30946,13729,21726,78.06,13.133892739876,117.72,66498,43054,15152,4665,1340,-3.5108,50.7221
E07000042,Mid Devon,South West,Rural,82800,4022,9625,4419,12206,20683,12010,19887,46.85,16.6373532347768,74.52,39073,28866,10954,3085,874,-3.5563,50.8762
E07000043,North Devon,South West,Rural,98600,4512,10848,4984,14658,23400,14755,25454,51.96,7.95679460529326,88.74,46135,33154,13705,4352,1265,-3.9109,51.069
E07000044,South Hams,South West,Rural,88600,3529,9201,4260,11353,20696,14507,25081,49.94,16.512185993263,79.74,43499,29405,11292,3413,1018,-3.8232,50.3751
E07000045,Teignbridge,South West,Rural,134800,5906,14061,6300,19230,32197,20675,36433,70.45,14.5906590600697,121.32,61426,47053,19026,5739,1559,-3.6582,50.6065
E07000046,Torridge,South West,Rural,68100,2803,7052,3163,9286,15530,10958,19322,33.08,15.9814034577946,61.29,29852,23713,10453,3216,880,-4.2482,50.8848
E07000047,West Devon,South West,Rural,57100,2196,5897,2896,7186,13278,9373,16270,26.53,13.616094223372,51.39,26007,19802,8236,2380,671,-4.0456,50.6569
E07000061,Eastbourne,South East,Urban,101700,4717,11312,5339,16966,24962,13470,24919,58.53,14.4514239469729,91.53,43956,35844,15503,4946,1440,0.2659,50.7767
E07000062,Hastings,South East,Urban,91100,4821,10455,4672,15854,24043,12732,18419,45.54,13.2133851591662,81.99,38395,31864,14122,5025,1588,0.5704,50.8699
E07000063,Lewes,South East,Urban,99900,4541,11059,5188,13649,24769,14239,26464,60.11,13.8126997908363,89.91,45533,34732,14156,4297,1187,0.0046,50.8829
E07000064,Rother,South East,Rural,93100,3732,8990,4297,11798,19746,14356,30194,49.55,20.0290948957433,83.79,39362,33607,14561,4365,1215,0.5374,50.9522
E07000065,Wealden,South East,Rural,160100,7181,17504,8080,22058,38565,24274,42488,85.06,14.5761085434216,144.09,77218,55635,20209,5627,1461,0.1984,50.9678
E07000066,Basildon,East,Urban,187600,12196,24505,10194,35894,50139,22746,31897,113.57,14.6947686623562,168.84,90914,64185,23022,7229,2221,0.4662,51.5902
E07000067,Braintree,East,Rural,155200,8453,18359,8181,26630,41475,20423,31751,80.32,13.7536963058822,139.68,73375,55346,19655,5431,1461,0.5898,51.9419
E07000068,Brentwood,East,Urban,77000,4280,9038,3927,13503,20623,10142,15535,49.58,12.7955778482956,69.3,41588,24413,8141,2214,691,0.3108,51.6386
E07000069,Castle Point,East,Urban,89600,4313,9899,4607,14371,21702,12096,22599,46.52,14.4672705824746,80.64,40925,31438,12324,3807,1093,0.586,51.5598
E07000070,Chelmsford,East,Urban,181500,9881,21745,9770,32946,49786,22238,35157,114.47,9.17540128887402,163.35,93611,61388,19993,5089,1442,0.4805,51.7257
E07000071,Colchester,East,Urban,192700,10833,23406,11261,39960,50927,22016,34312,108.2,11.1676260672697,173.43,94777,66963,22916,6281,1778,0.8568,51.8762
E07000072,Epping Forest,East,Urban,135000,7921,15588,7031,23276,36952,17945,26267,84.81,11.0314396028682,121.5,69924,44362,15163,4214,1317,0.1487,51.7088
E07000073,Harlow,East,Urban,93300,6251,12902,5060,19075,25606,10820,13614,50.83,8.32986255726781,83.97,44559,32106,11913,3659,1091,0.1084,51.7683
E07000074,Maldon,East,Rural,66200,3042,7048,3378,9866,16300,10022,16552,34.52,13.1719525224289,59.58,30903,23469,8677,2487,672,0.7685,51.7103
E07000075,Rochford,East,Urban,85600,4258,9756,4453,13338,22046,11811,19999,50.93,13.607293509321,77.04,41866,29571,10588,2837,799,0.7092,51.5961
E07000076,Tendring,East,Rural,148100,6690,15290,6884,21563,32126,21869,43874,84.31,12.4015221236628,133.29,58492,52819,25460,8891,2630,1.1082,51.8702
E07000077,Uttlesford,East,Rural,91300,5026,11629,5000,13470,25110,12677,18429,57.17,10.6844455841186,82.17,49323,29898,9180,2301,639,0.2797,51.9347
E07000078,Cheltenham,South West,Urban,118800,5857,13279,6693,24339,31110,14672,22883,72.88,10.8103613155378,106.92,60237,39932,13876,3695,1097,-2.0739,51.8971
E07000079,Cotswold,South West,Rural,90800,4015,9581,4384,12540,22744,13902,23666,45.32,15.3022188217292,81.72,45781,31041,10559,2698,753,-1.8924,51.8166
E07000080,Forest of Dean,South West,Rural,87000,3977,9099,5071,13228,20624,13196,21809,44.78,15.7119770156222,78.3,38990,30908,12355,3662,1089,-2.4874,51.8368
